Date,Close,High,Low,Open,Volume,Stock
,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,
2020-05-04,401.0525817871094,422.16062520124706,397.9660543544019,422.16062520124706,37853978,Axis
2020-05-05,387.31243896484375,416.9333774203813,384.8232844727818,412.2039838854636,50981056,Axis
2020-05-06,387.1631164550781,392.73882889219556,366.4533317436688,383.3298122554856,67511628,Axis
2020-05-07,395.626220703125,400.50495742630875,381.0397814692974,385.3211150378657,41339309,Axis
2020-05-08,380.3926086425781,407.67376842992934,378.003026210489,401.74956809697636,33505509,Axis
2020-05-11,377.9034118652344,391.7929056819865,375.21514332292435,389.30375126215176,30141935,Axis
2020-05-12,385.1717529296875,390.1002603465553,368.3948464145811,374.66750326702555,38411107,Axis
2020-05-13,412.2040100097656,414.6433937206621,397.866485303855,409.2170244299847,48206058,Axis
2020-05-14,400.2062683105469,409.2169953484516,395.9249043860084,403.2927955488216,31604212,Axis
2020-05-15,386.8644104003906,402.1478262991015,385.1220021145321,401.00282121686087,25435025,Axis
2020-05-18,357.24346923828125,387.3124700714237,350.77166703914435,387.3124700714237,47864748,Axis
2020-05-19,352.9621276855469,370.8840410800175,348.58122159949176,367.2000800615232,42889678,Axis
2020-05-20,360.9273986816406,364.7109013275391,348.4816263133082,351.46861168170796,30720803,Axis
2020-05-21,355.650390625,367.399187166214,354.156897994243,361.4252166431861,24794914,Axis
2020-05-22,335.4882507324219,358.189327284643,331.40603133539287,350.57252070364683,48367892,Axis
2020-05-26,339.8193664550781,346.1916264007861,334.89085868526666,340.516341882011,30692834,Axis
2020-05-27,385.3211364746094,390.74750571857265,340.01852223793054,344.59857283120385,72430787,Axis
2020-05-28,389.2539978027344,405.88153184258414,385.3211214887613,388.3081069266587,72693713,Axis
2020-05-29,383.280029296875,387.5613629635925,373.72166975946374,380.3428147773727,51056390,Axis
2020-06-01,395.2279357910156,407.7234783457052,390.8469998718274,392.5894078989458,44252980,Axis
2020-06-02,408.3209228515625,413.1996597450082,389.8513776607634,396.2734086229235,37508638,Axis
