Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-04-22,172.26156616210938,175.45448756256584,169.93701631628593,172.6757203316834,6895110
2010-04-23,173.83352661132812,174.3011165098277,171.77172519153382,172.3372715520436,5317060
2010-04-26,177.20016479492188,177.85032240878616,174.3590462824646,174.3590462824646,7898280
2010-04-27,176.30508422851562,177.77017788176929,175.25858876190586,177.14672452125777,4484470
2010-04-28,175.28976440429688,176.94634070557473,174.38577333819435,174.38577333819435,5711770
2010-04-29,176.8572540283203,177.68109138053413,173.3570766461132,175.62373354946993,9396450
2010-04-30,178.16650390625,179.01705922640542,176.61235517867118,177.95274730135242,7109610
2010-05-03,175.4366912841797,176.79045575814794,174.75091441437706,176.79045575814794,5007070
2010-05-04,172.5154266357422,176.77264677885387,172.08792705378886,176.77264677885387,4588960
2010-05-05,170.67623901367188,172.22148590150303,167.44769838090926,172.07008010952092,8014270
2010-05-06,168.81927490234375,170.64507296709422,167.1716004948939,169.66537246699477,5261230
2010-05-07,164.59326171875,166.99352179520417,163.52006197785096,166.6372743846948,9785810
2010-05-10,172.26605224609375,172.6044967793171,162.98566776688463,165.9470166626885,6426540
2010-05-11,173.5218505859375,174.11857245152262,170.40018078219873,172.60450062645933,6964650
2010-05-12,175.89089965820312,176.43418566338025,173.58415269788193,173.58415269788193,6870820
2010-05-13,175.0403594970703,177.68108005687526,173.69105259061297,176.45200357536206,6372190
2010-05-14,173.82913208007812,175.72172539323006,172.9830342580744,174.92014830662018,4700150
2010-05-17,171.78956604003906,173.38824901314536,170.51151116340324,172.96074941450712,6603600
2010-05-18,168.84603881835938,171.4466829760836,168.3472870059147,170.82324321052772,6121560
2010-05-19,166.41900634765625,168.15129177558978,164.01876063895924,167.34971497673985,9090080
2010-05-20,164.85154724121094,167.11820427197767,163.54677449526298,166.90444767869556,3389000
2010-05-21,162.67837524414062,164.76690822204426,160.41171859696288,162.09501241303815,5498620
2010-05-24,162.50025939941406,166.32552211936888,161.29790079148063,163.44878463167805,4810910
2010-05-25,160.64773559570312,162.0950124929617,158.97780071425092,161.36468778162347,5534350
2010-05-26,162.78526306152344,165.05637744505438,161.40923821261126,161.45377253188957,7001390
2010-05-27,168.91726684570312,169.84351813769618,161.2934591694175,161.649706530192,11309860
2010-05-28,168.93504333496094,170.46693120914668,167.9063646320581,168.9172404826767,5879250
2010-05-31,168.19139099121094,169.09538187313368,166.1028579898783,168.86382245947618,4384110
2010-06-01,165.22113037109375,168.32944081072694,163.6981573265201,168.30272293906532,5682730
2010-06-02,165.03854370117188,165.9024577627498,162.80751995180796,164.58878381651053,9451670
2010-06-03,169.7188262939453,170.11070653575197,166.02270904865728,166.02270904865728,6796890
2010-06-04,167.94650268554688,170.09291573178737,167.4477372908104,169.75448477281836,5094350
2010-06-07,167.14047241210938,168.76142940913232,161.05746693374456,166.28101566971588,9619130
2010-06-08,165.8980255126953,168.95288673234066,165.034111390354,167.43881505884426,5671140
2010-06-09,167.5189666748047,168.82819677899647,164.90496397513186,165.6575490891049,5792340
2010-06-10,171.75424194335938,172.27412698348016,166.9901358499908,168.59459756295624,8510470
2010-06-11,174.4567108154297,174.7883561401121,172.19790361415016,172.19790361415016,10815380
2010-06-14,176.86343383789062,177.02925652273302,174.45673448820352,174.45673448820352,7488980
2010-06-15,176.03431701660156,177.47744222012702,175.05729801620697,177.02926686098527,4560780
2010-06-16,177.12335205078125,178.373764936112,176.40626885328163,177.0292390697594,9084290
2010-06-17,178.92054748535156,179.18048314670773,176.40627688859044,177.74633036360726,7988600
2010-06-18,178.52613830566406,179.08635740224904,177.329517974604,178.5530277281222,4901400
2010-06-21,179.16702270507812,180.16645848064945,178.3827159828365,179.4135273098312,7101650
2010-06-22,178.10935974121094,179.27013220597757,177.6970324191579,178.8219568754626,4262440
2010-06-23,179.15809631347656,179.60178553363806,177.0740836696656,177.8987246730934,4244040
2010-06-24,179.41354370117188,179.89756701885466,177.47742307599069,179.00570252707874,8826550
2010-06-25,174.57772827148438,178.55304108998467,173.89202059303895,177.4908677917286,7235160
2010-06-28,174.8511199951172,176.04325427003215,172.3906282710359,174.97660853338323,5329080
2010-06-29,170.70103454589844,174.6808339599819,169.95706180162367,173.9009995273996,7951160
2010-06-30,172.00970458984375,173.79344751792308,168.4243015661703,169.85846824653052,8767560
2010-07-01,170.96990966796875,172.9687675746336,169.85843005672567,171.38222326374225,5783630
2010-07-02,171.4584197998047,172.39959062131553,170.30211992053526,170.96991038687543,4112500
2010-07-05,171.6690673828125,172.9060218860979,170.1273432867993,170.3962511969829,2580270
2010-07-06,176.04324340820312,176.55865591874752,171.20295588547208,171.65113116265917,6248030
2010-07-07,173.65000915527344,176.4914391000391,173.08978999398937,176.4779943872573,3966720
2010-07-08,174.4029541015625,176.56763492277034,174.09371203035772,175.68472897750354,3362920
2010-07-09,179.51661682128906,180.3412714362451,174.79733130487378,175.23654803705415,15701180
2010-07-12,183.70260620117188,184.28971483283067,179.89758806679862,180.076855476647,14869280
2010-07-13,185.77316284179688,186.44093971550794,182.62249077782818,183.9311550992771,6257310
2010-07-14,187.00564575195312,189.2106607537961,185.83590100860798,186.4409404498399,10558030
2010-07-15,184.8812713623047,187.33727695043186,184.2000498244677,187.33727695043186,3238730
2010-07-16,182.76141357421875,185.18604364364305,182.0667336370808,185.00676257778483,4713880
2010-07-19,183.55918884277344,185.00678652868604,181.24211617111675,183.0348176439809,8765580
2010-07-20,183.2499237060547,187.22075040416118,182.4969924646459,183.55916576542347,6684590
2010-07-21,182.23255920410156,185.07400275177014,181.5110035083095,183.76083867737685,4642350
2010-07-22,184.40170288085938,184.91710165719385,181.51096719173168,181.95914241936558,5574970
