Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2020-05-04,401.05255126953125,422.16059307747963,397.9660240716891,422.16059307747963,37853978
2020-05-05,387.3124084472656,416.93334456887527,384.82325415133204,412.2039514066015,50981056
2020-05-06,387.1630859375,392.7387979351199,366.4533028585098,383.32978204006224,67511628
2020-05-07,395.6262512207031,400.50498832021987,381.0398108617155,385.32114476053476,41339309
2020-05-08,380.3926086425781,407.67376842992934,378.003026210489,401.74956809697636,33505509
2020-05-11,377.9034423828125,391.7929373212102,375.21517362341143,389.3037827003639,30141935
2020-05-12,385.1717834472656,390.1002912546244,368.39487560290655,374.6675329523405,38411107
2020-05-13,412.2040100097656,414.6433937206621,397.866485303855,409.2170244299847,48206058
2020-05-14,400.20623779296875,409.2169641437639,395.9248741949041,403.2927647958815,31604212
2020-05-15,386.8643798828125,402.1477945758998,385.1219717344029,401.0027895839823,25435025
2020-05-18,357.2434387207031,387.3124369851966,350.77163707442094,387.3124369851966,47864748
2020-05-19,352.9621276855469,370.8840410800175,348.58122159949176,367.2000800615232,42889678
2020-05-20,360.9273986816406,364.7109013275391,348.4816263133082,351.46861168170796,30720803
2020-05-21,355.6504211425781,367.3992186919305,354.15692838366783,361.4252476562894,24794914
2020-05-22,335.4882507324219,358.189327284643,331.40603133539287,350.57252070364683,48367892
2020-05-26,339.8193359375,346.1915953109453,334.89082861029465,340.51631130184074,30692834
2020-05-27,385.3211364746094,390.74750571857265,340.01852223793054,344.59857283120385,72430787
2020-05-28,389.2539978027344,405.88153184258414,385.3211214887613,388.3081069266587,72693713
2020-05-29,383.2800598144531,387.5613938220596,373.7216995159848,380.3428450610835,51056390
2020-06-01,395.2279968261719,407.7235413105514,390.8470602304345,392.5894685266335,44252980
2020-06-02,408.3209533691406,413.1996906272192,389.8514067979425,396.2734382400801,37508638
2020-06-03,407.7732849121094,430.125904853111,403.491951253989,420.16928668521496,49055899
2020-06-04,392.6392517089844,412.10442847871946,389.8513803327735,405.83177105632376,45553578
2020-06-05,403.541748046875,408.12179877460215,388.80596436829813,397.26909035326753,39002875
2020-06-08,428.3835144042969,442.82061134529005,412.20400921180453,413.1996710698041,60387580
2020-06-09,418.2277526855469,440.5803736258371,414.6931652320026,433.06313872708756,46273705
2020-06-10,425.5956726074219,430.8228973527256,413.4983567458539,420.36844786211816,36163051
