Date,Close,High,Low,Open,Volume,Stock
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
2020-05-04,651.7192993164062,665.2513523679601,643.6590437820607,653.8989609027406,53456868,Reliance
2020-05-05,663.2760009765625,671.608706667689,657.1684258602176,660.1200900918712,44903763,Reliance
2020-05-06,663.321533203125,674.3106589376562,656.3965464371961,664.797335147017,40489094,Reliance
2020-05-07,684.3006591796875,687.3431400484432,656.1694269836476,660.7103834852225,50026966,Reliance
2020-05-08,709.2079467773438,717.4270410187647,697.9917191897074,701.5791005335512,84262770,Reliance
2020-05-11,716.0194091796875,733.3658866839421,713.9759724743255,717.472476614391,67085063,Reliance
2020-05-12,671.7222290039062,712.1822864403915,665.2513867531263,710.5701988750147,100683202,Reliance
2020-05-13,685.9739990234375,699.9781414887979,666.5148521861614,699.9781414887979,66430125,Reliance
2020-05-14,658.24072265625,686.0885935435547,655.536167098425,673.3908655535027,49266771,Reliance
2020-05-15,668.9902954101562,672.3366306599135,648.6831202388757,661.9309024089519,62152260,Reliance
2020-05-18,660.4411010742188,679.3501354848403,654.5965179951678,673.849358542829,62796089,Reliance
2020-05-19,645.8409423828125,670.0445644963647,643.2510293829077,667.8900624319778,42315854,Reliance
2020-05-20,657.2094116210938,663.2373862958586,638.5524571570335,646.3452952609152,55320985,Reliance
2020-05-21,660.6702880859375,669.9299550200111,653.2212565793534,657.8052573140799,39167981,Reliance
2020-05-22,656.2237548828125,668.3484520221568,653.9088382574702,665.5063983745708,37828973,Reliance
2020-05-26,652.7857666015625,664.5437414923631,649.2331236945481,663.8332129109601,33216635,Reliance
2020-05-27,662.6414184570312,666.5148907058112,647.2620506707943,655.9716644514942,35667956,Reliance
2020-05-28,674.8806762695312,678.3186768105455,664.2228685298562,666.9732568376063,40126278,Reliance
2020-05-29,671.2822265625,674.7660596561055,665.8960320550904,672.9324473370226,40022527,Reliance
2020-06-01,696.9298095703125,705.1810352636735,676.5768023601042,678.4333311723758,39943702,Reliance
2020-06-02,703.9661865234375,705.9373576847842,697.1360184303195,699.519744791056,22153960,Reliance
2020-06-03,706.6937255859375,715.1053654594697,702.8889420443872,708.2293645717,25381289,Reliance
2020-06-04,724.1817016601562,728.6282040622968,706.3957526768991,707.7709164801789,34202350,Reliance
