date,positive_count,negative_count,neutral_count,avg_sentiment_score
2020-12-29,0,2,2,-0.4633931382871168
2020-12-30,0,1,0,-0.9994966032973025
2020-12-31,0,0,2,9.481058782512264e-07
2021-01-01,0,2,0,-0.9999505071133967
2021-01-04,0,1,1,-0.5662159065250307
2021-01-07,2,0,2,0.3856983335678743
2021-01-08,0,1,1,-0.4999706877315653
2021-01-12,0,1,4,-0.24929335928718502
2021-01-13,1,0,1,0.44968080829130486
2021-01-14,0,0,1,-0.0001660518967128155
2021-01-15,0,3,0,-0.8239765198280414
2021-01-16,0,2,0,-0.9999449148172062
2021-01-18,3,1,1,0.40042765778871664
2021-01-19,0,2,3,-0.40000067573169745
2021-01-20,0,1,0,-0.9998204300645739
2021-01-21,1,4,0,-0.575010635981289
2021-01-22,0,1,0,-0.9999635645108356
2021-01-23,0,1,0,-0.9999393402995338
2021-01-25,1,0,2,0.027287366049752865
2021-01-26,0,2,1,-0.6666934058437638
2021-01-27,4,2,0,0.20447607983078342
2021-01-28,0,6,0,-0.8403212096057663
2021-01-29,3,3,0,-0.059868725864362204
2021-01-30,0,1,0,-0.9996783681417583
2021-02-01,0,1,0,-0.9999131406148081
2021-02-02,0,1,4,-0.20099000912730602
2021-02-03,0,0,2,-0.00017785625087185508
2021-02-04,0,2,2,-0.26010617921565427
2021-02-05,0,0,2,-0.03255244702233995
2021-02-09,0,1,0,-0.9840871747474011
2021-02-10,1,3,0,-0.28836257027751344
2021-02-11,0,2,0,-0.9998037901127645
2021-02-12,0,1,1,-0.38902520446572453
2021-02-13,0,1,0,-0.9999516190437134
2021-02-15,0,2,1,-0.6666084134818272
2021-02-17,1,1,0,-0.002048943846602924
2021-02-19,0,2,0,-0.7610444100509994
2021-02-20,0,0,1,-0.18770868389037787
2021-02-22,2,0,0,0.9177329161545913
2021-02-23,0,3,0,-0.9794983240253714
2021-02-24,1,1,2,-0.007071216250345458
2021-02-25,0,1,0,-0.9999969349351545
2021-02-26,1,1,3,0.06337203479160962
2021-02-27,0,1,0,-0.9999455360884895
2021-03-01,0,1,0,-0.9999873074148127
2021-03-02,0,1,0,-0.852976809255324
2021-03-04,0,3,0,-0.9999030366487508
2021-03-05,2,2,0,0.011405456854618023
2021-03-08,2,1,0,-0.009545038631282901
2021-03-09,0,1,4,-0.2015007924459729
