date,Close,High,Low,Open,Volume,positive_count,negative_count,neutral_count,avg_sentiment_score,Return,volume_ratio,price_gap,return_volatility,return_zscore,Bollinger_%B,Volume_Z,OBV,RSI,MACD_Hist,ATR,ma_fast,ma_slow,ma_diff,price_vs_ma50,ma_slope,roc_10,bb_upper,bb_lower,bb_width,rsi_slope,bear_score,bull_strength,bear_strength,volatility_spike,divergence,SMA_20,SMA_7
2021-02-18,950.9281005859376,969.645866749394,946.9729559015728,958.8843114063208,18646877,0.0,2.0,0.0,-0.9864852505252202,-0.007464273505536689,0.6109061468937041,0.8048436328831485,0.02099987950457646,-0.48896624360468616,0.7943904260783378,-1.1169851916817475,2825131389.0,85.62410573968529,12.350855463546736,24.07558315024732,926.5075561523438,908.0468542480469,18.46070190429691,1.047223605408997,0.6801879882812045,0.07452066947991431,980.2933187926552,837.4730325257041,0.15713822204197897,4.856034444235121,0.0,True,False,1.2110951896850943,1,908.8831756591796,940.4654192243304
2021-02-19,956.7227783203124,968.0592337296108,944.3055569860004,946.00720526582,23403483,0.0,1.0,0.0,-0.522139847278595,0.006093707537724757,0.7869601375474229,-4.9208953201176655,0.020451452900415085,0.3212523518945858,0.8446581488794668,-0.6007767398200262,2848534872.0,83.50234738624663,13.753457705429923,23.70110213712701,933.7072387695313,908.5375646972657,25.169674072265593,1.053036016886217,0.4907104492187955,0.08137754521277496,978.4826542237206,838.4052974364356,0.15419482160062897,-2.121758353438665,0.0,True,False,1.1633437618201874,0,908.4439758300781,947.4295741489956
2021-02-22,923.5181884765624,961.1377700717302,917.4706072352108,956.5847951710208,23804335,0.0,4.0,0.0,-0.9789290426961657,-0.03470659484249583,0.8095974681001566,-0.1379831492915855,0.02124686902883813,-1.9834157373734616,0.6168531647895626,-0.5268500564578157,2824730537.0,62.94836689277196,12.04682884523379,24.02631461152611,936.312548828125,908.5476818847657,27.76486694335938,1.0164774033221247,0.010117187499986358,0.029029653562537838,976.0736258884857,838.9057503322175,0.1511508916887973,-20.55398049347467,0.0,True,False,1.1202101461320648,1,907.4896881103516,944.3022722516741
2021-02-23,930.57763671875,944.121605937911,926.0476528878164,941.868109590854,25644108,1.0,5.0,0.0,-0.6566347924518444,0.007644081437998329,0.9166948698514051,18.349921114291647,0.017384246519311315,0.41541179399266615,0.6536697022400598,-0.26198110876539754,2850374645.0,64.13338755657465,11.135587531405804,23.789800528923973,939.4076538085938,908.7100244140624,30.697629394531305,1.0240644558959144,0.1623425292967795,0.034404329812947276,978.3387795043056,840.4324424195224,0.15164781081032397,1.185020663802689,0.0,True,False,1.1044842561449648,0,909.385610961914,943.1098284040179
2021-02-24,947.8468017578124,949.801352551396,931.8193636041976,933.5899852986744,10807663,0.0,1.0,0.0,-0.9999945352267332,0.01855746834831984,0.40943690651497755,3.012348579924378,0.016618633945604346,0.9972319010723493,0.7526004161500087,-1.7309094549008082,2861182308.0,69.01252725362465,11.672347957803026,24.013179474849096,943.3949645996094,909.3511218261718,34.04384277343752,1.0423331307430874,0.6410974121093886,0.04391438670561998,981.7775557090001,844.6279557656092,0.15018526727140533,4.879139697050007,0.0,True,False,1.0781929586602292,0,913.2027557373046,944.9756992885044
2021-02-25,986.1791381835938,989.6973294952614,953.3654946086484,954.7452060986104,34855693,0.0,2.0,1.0,-0.6698652222974791,0.040441489441851663,1.3185034110032092,6.898404340798038,0.018103314314054816,2.0798885960857305,0.9662791385773923,0.9310879451500049,2896038001.0,74.93782081653146,15.017718742275633,26.192756086852885,947.4719482421875,910.9147692871094,36.55717895507814,1.082625039613077,1.5636474609375455,0.04312400602572608,991.011378700655,847.7101606059856,0.15587049483164972,5.925293562906802,0.0,True,False,1.1039618684459644,0,919.3607696533203,950.5503016880581
2021-02-26,959.252197265625,981.373198405256,952.307718376456,973.6009777757528,37481215,0.0,3.0,0.0,-0.9998353514237124,-0.02730431001365985,1.4347292832458067,-12.578160407840983,0.018848311056123286,-1.5015580894565146,0.7633396254427995,1.3348536906844024,2858556786.0,64.19739927520786,15.31957556580187,27.125693082375772,949.5046936035156,911.9196435546875,37.58505004882818,1.0519043032414939,1.0048742675780886,0.021649715539723724,990.0629702497332,859.87314425222,0.14075061833425903,-10.740421541323599,0.0,True,False,0.9932320618197343,1,924.9680572509766,950.7178344726562
2021-03-01,966.5645141601562,971.3014788991584,948.5365439409728,970.4736155298826,17680764,0.0,1.0,0.0,-0.9997674402002305,0.007622934735385778,0.6988656248806534,11.221418264257636,0.018092854991597906,0.33137512475229225,0.7947328405666836,-0.8978079548323493,2876237550.0,65.02528667225093,15.964809746011042,27.498541048101668,952.6825744628907,912.9875231933594,39.69505126953129,1.0586831578808442,1.0678796386719114,0.033995822148879196,992.2289831691728,867.1993920749678,0.13448175015376837,0.8278873970430709,0.0,True,False,0.9484515024469684,0,929.7141876220703,952.9516078404018
2021-03-02,968.5420532226562,979.579562394004,960.7698327775582,975.9004332189623,17150760,0.0,4.0,1.0,-0.8012739907150717,0.0020459462700410658,0.7121441890307507,9.335919058806098,0.017925218669016446,0.03939125837701473,0.7833928413292516,-0.8936339217375034,2893388310.0,63.99574409510121,16.44615235092124,26.954873617133103,954.8210876464843,914.0402258300782,40.78086181640617,1.0596273838419779,1.0527026367187773,0.022578235298780003,995.0524132053723,872.6632911403309,0.13105754990470211,-1.0295425771497193,0.0,True,False,0.9247171717358212,0,933.8578521728516,954.6400756835938
2021-03-03,1012.7381591796876,1020.92434193139,969.0939871822964,975.4635660240124,31924461,0.0,3.0,1.0,-0.8328958946583498,0.045631581829592704,1.321135701853956,6.92151280135613,0.020115859148143695,2.1863226748746816,1.0446942926371312,0.9905315780250464,2925312771.0,65.08656012271487,20.16146737583142,27.675929008160203,960.2869567871094,916.4537634277344,43.833193359374945,1.105061924119149,2.4135375976562727,0.05705026904842869,1006.7778979369564,873.4216931274968,0.14185324307400946,1.0908160276136627,0.0,True,False,0.9975919766492337,0,940.0997955322266,967.3857857840402
