date,Close,High,Low,Open,Volume,positive_count,negative_count,neutral_count,avg_sentiment_score
2010-04-22,236.2690277099609,240.25533572672228,230.62448745703492,230.72331899557932,25598349,,,,
2010-04-23,239.0034637451172,240.71658789873928,237.20247466511563,237.20247466511563,23235165,,,,
2010-04-26,235.2806854248047,241.111907532806,233.5785280428701,237.2024537889527,16652152,,,,
2010-04-27,233.08436584472656,234.56688298655976,231.7116761906747,233.46872539881485,13970196,,,,
2010-04-28,223.42056274414065,231.4810437522775,222.26748413588032,231.4810437522775,40110291,,,,
2010-04-29,227.3300018310547,228.39521552103295,223.83785148211464,224.9030651720929,23447044,,,,
2010-04-30,227.01156616210935,229.9985484932151,226.22088445067072,228.41719973159704,15821019,,,,
2010-05-03,224.84815979003903,226.7919053825285,223.6072455801632,225.3423321498032,12535244,,,,
2010-05-04,224.2771453857422,228.19758088804693,222.5969650252943,224.94701834096787,17348783,,,,
2010-05-05,224.1673126220703,224.80424167014976,220.35670495486676,221.8282261365908,14976570,,,,
2010-05-06,221.3560333251953,224.7493376307797,220.51044523883175,223.9806331842062,23863448,,,,
2010-05-07,226.83583068847656,232.8098241390689,214.36074224180692,214.36074224180692,72063684,,,,
2010-05-10,238.82440185546875,239.39966745142416,230.10688824959493,232.54071559380188,38050844,,,,
2010-05-11,236.25782775878903,240.9484674915224,235.27323429088847,240.9484674915224,26325489,,,,
2010-05-12,239.60986328125,241.0480198458168,235.42811423505805,238.0831918223455,15294301,,,,
2010-05-13,237.14285278320312,241.92199252747045,234.97454061152092,234.97454061152092,11947698,,,,
2010-05-14,230.91448974609372,236.96586339152253,229.0006153496272,236.2357077771676,18161695,,,,
2010-05-17,224.91842651367188,228.9342380447636,223.24794226133352,228.9342380447636,20611809,,,,
2010-05-18,225.81451416015625,228.6576545952031,222.98242147129596,225.68176396934803,15445191,,,,
2010-05-19,220.9579315185547,225.18393065022948,220.1724633687829,225.01797814593596,26097480,,,,
2010-05-20,221.2455596923828,224.1329649284675,219.87376342689103,221.47788729341408,18577281,,,,
